RCR;ARK;geo;Services proposés;catalogue_url_ligne;nomrue;commune;codepostal;nometabaff;nometablissement;nomtutelle;Type d'établissement;Code type d'établissement;Heures d'ouverture;Fermeture annuelle;notecondaccess;noteaccessetab;Conditions d'accès;Code Conditions d'accès;Télécopie;Site web;Téléphone;Description des collections;Volumétrie
771316201;/06871/0026942;48.8123920447, 3.08614547116;consultation sur place,prêt à domicile,réservation de documents,catalogue en ligne,accès bases de données externes,compte utilisateur/lecteur;http://www.bibliotheque.coulommiers.fr/search.php;Avenue Georges Pompidou;Coulommiers;77120;;Bibliothèque municipale de Coulommiers;;Bibliothèque médiathèque municipale ou intercommunale;1;"mardi: 10h-12h 	14h-17h
mercredi: 10h-18h,
vendredi: 14h-19h,
samedi: 10h-12h et 14h-18h";;;;Tous publics;T;;http://coulommiers.agate-sigb.com;01.64.75.39.80;"Collection encyclopédique de lecture publique
Fonds ancien : 14 300 volumes
Fonds local : 945 volumes
Fonds musical : 250 oeuvres pour piano, du début du XIXe s.";Volumétrie globale : 41 000 volumes
751065204;/06871/0029737;48.8566784, 2.3390568;consultation sur place,prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,autre service,PEB international : photocopies;;11 quai de Conti;Paris;75270;;France. Direction des monnaies et médailles * Bibliothèque;FRANCE (MINISTERE DE L'ECONOMIE ET DES FINANCES);Bibliothèque ou centre de documentation spécialisé;3;sur rendez-vous;24 decembre au 1er janvier, aout;etudiants,professeurs,chercheurs dans les domaines de : l'art de la gravure en medaille,la technologie,la politique et l'economie politique,la numismatique.;;Accès réservé;R;01.40.46.57.05;http://www.monnaiedeparis.fr/fonds_doc/index.htm;01.40.46.55.36;Les fonds spéciaux et anciens traitent d'histoire européenne, de législation monétaire et de numismatique, fonds Babut de Rosan sur la législation des monnaies, collection de registres de fabrication.;"Volumétrie globale : 60 000 documents
Monographies (25 000); Recueils (34 000); Périodiques (52); Textes manuscrits (1 200); Cartes et Plans (500); Estampes (110); Photographies (300)"
913866201;/06871/0027247;48.5644502231, 2.42189513674;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,élaboration de bibliographies,portage de documents à domicile,catalogue en ligne,autre service;http://www.mennecy.fr/main.php?r=08&page=08040300.1;7 avenue de Villeroy  - Orangerie II;Mennecy;91541;;Bibliothèque municipale Madeleine de l'Aubépine;;Bibliothèque médiathèque municipale ou intercommunale;1;"Lundi 	15h00 - 18h00
Mardi 	Fermeture au public
Mercredi 	9h00 - 18h00
Jeudi 	Fermeture au public
Vendredi 	14h00 - 18h30
Samedi 	9h00 - 16h00";;;Horaires réduits en juillet et août;Tous publics;T;;http://www.mennecy.fr/;01.64.99.91.27;Collection encyclopédique et multimédia de lecture publique;Environ 26 000 documents : livres, magazines, Cd-roms
751055203;;48.8493963, 2.3447743;consultation sur place,reproduction,prêt entre bibliothèques,renseignements bibliographiques,catalogue en ligne,autre service;http://omnia.college-de-france.fr;11, place Marcelin Berthelot;Paris;75231;"[""CNRS-Unité de recherche associée 1062"", ""IES""]";Collège de France;COLLEGE DE FRANCE;Bibliothèque ou centre de documentation spécialisé;3;lundi au vendredi : 9h00-18h00;Se reporter au site web du Collège de France;Réservé chercheurs qualifiés étudiants en Master sur recommandation de leur directeur de recherche et sur autorisation du professeur. Toute personne, temporairement, sous certaines conditions.;;Accès réservé;R;01.44.27.16.03;https://www.college-de-france.fr/site/bibliotheques-archives/Bibliotheque-dassyriologie-et-detudes-ouest-semitiques.htm;01.44.27.13.50;"La bibliothèque possède un fonds spécialisé sur la linguistique chamitosémitique, l'épigraphie ouest et sud sémitique et l'archéologie du Proche-Orien, de l'Afrique du nord et de l'Ethiopie; une partie importante du fonds concerne l'étude de l'Ancien Testament et des manuscrits de Qoumrân. - Sont intégrés dans les collections les fonds légués par André Dupont-Sommer, Jean Starcky et Marcel Cohen.
L'Institut d'études sémitiques conserve également les archives scientifiques de Jean Starcky et de Marcel Cohen.";Périodiques (100)
951272103;/06871/0027915;49.0434256, 2.0851189;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,accès bases de données externes;http://cerfeuil-web.bibu2.u-cergy.fr;2, avenue Adolphe-Chauvin;Cergy-Pontoise;95302;;Université de Cergy-Pontoise;UNIVERSITE DE CERGY-PONTOISE;Bibliothèque ou institut universitaire;2;Lundi au vendredi 8h30-18h * Horaires réduits 9h-13h du 2 au 20 juillet;Vacances d'été du 23 juillet au 31 août * Vacances universitaires;Tous publics,;;Tous publics;T;01.34.25.65.62;http://www.u-cergy.fr/fr/bibliotheque.html;01.34.25.65.81;;
751055221;/06871/0029731;48.8420595, 2.3561966;consultation sur place,prêt entre bibliothèques,réservation de documents,accès bases de données externes;;36, rue Geoffroy Saint-Hilaire;Paris;75005;;Centre de recherche sur la conservation des collections. Bibliothèque;"[""CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (FRANCE)"", ""MUSEUM NATIONAL D'HISTOIRE NATURELLE (PARIS)""]";Bibliothèque ou centre de documentation spécialisé;3;lundi, mardi, vendredi de 9H a 15H45;;chercheurs, etudiants, restaurateurs;;Accès réservé;R;;;01.45.87.60.12;;
751052106;/06871/0027811;48.8464406, 2.3551613;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,catalogue en ligne,accès bases de données externes;http://catalogue-bibliotheques.upmc.fr/;4, place Jussieu;Paris;75251;"[""Service Commun de la Documentation (SCD) de l'université Paris 6- Documentation professionnelle (DP)"", ""PARIS6-BUPMC- Documentation professionnelle (DP)""]";Université Pierre et Marie Curie. Bibliothèque Universitaire Pierre et Marie Curie * Bibliothèque de Documentation professionnelle;"[""UNIVERSITE PIERRE ET MARIE CURIE (PARIS)"", ""CONSORTIUM COUPERIN""]";Bibliothèque ou institut universitaire;2;Lundi au Vendredi 9h -19h;"Vacances de Noël: 2 semaines ; vacances d'été: de la fin juillet à la fin août (5 semaines)";"Accès libre pour la consultation sur place ; prêt à domicile réservé aux personnels de l'UPMC";;Tous publics;T;01.44.27.43.69;http://www.jubil.upmc.fr;01.44.27.62.73;- Les périodiques antérieurs à 1974 ne sont pas accessibles car conservés dans un magasin amianté.;
751196205;/06871/00210811;48.8850067, 2.3674628;consultation sur place,prêt à domicile,catalogue en ligne,accès internet,compte utilisateur/lecteur;http://b14-sigbermes.apps.paris.fr/medias/medias.aspx?INSTANCE=EXPLOITATION;2 Rue du Département;Paris;75019;;Bibliothèque Hergé;VILLE DE PARIS;Bibliothèque médiathèque municipale ou intercommunale;1;"Jeunesse : mar. jeu. 16h-18h30, mer. sam. 10h-13h/14h-18h, ven. 14h-18h30
Discothèque : mar. jeu. ven. 12h-18h30, mer. sam. 10h-13h/14-18h";Fermeture dimanche et lundi;;Accès handicapés;Tous publics;T;01.40.38.04.36;http://bibliotheque.equipement.paris.fr/Biblioth%C3%A8que_Herg%C3%A9;01.40.38.18.08;"La bibliothèque comprend 540 ouvrages en langue étrangère et 3670 bandes dessinées.
Partitions et méthodes d'apprentissage musicale -";"Volumétrie globale : 46980 volumes
Monographies (27800); Périodiques (80); Cassette audio (1300); Cassette audio (15920); Partitions (1860)"
751132309;/06871/00225;48.8274497, 2.3851721;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,catalogue en ligne,accès bases de données externes;http://194.199.203.252/loris/jsp/system/win_main.jsp;3, quai Panhard et Levassor;Paris;75013;ENSAPVS;Ecole nationale supérieure d'architecture Paris-Val de Seine;FRANCE (MINISTERE DE LA CULTURE ET DE LA COMMUNICATION, DIRECTION GENERALE DES PATRIMOINES);Autres;12;Lundi, Mardi, Mercredi, Jeudi 10h-19h * Vendredi 10h-17h;Vacances de Noël, vacances de printemps;;;Tous publics;T;;http://www.paris-valdeseine.archi.fr/http://www.paris-valdeseine.archi.fr/services/doc.php;01-72-69-63-64;;
916925401;/06871/00213800;48.6811911, 2.2014124;prêt entre bibliothèques,renseignements bibliographiques,élaboration de bibliographies,accès bases de données externes,autre service;;6-8 rue de la Réunion;Courtaboeuf;91955;SFC;Société française de céramique. Documentation;;Bibliothèque ou centre de documentation spécialisé;3;9h-12h, 13h-16h;Pas de fermeture;Membres de la Société. Autres : service payant.;;Accès réservé;R;01.64.46.20.28;http://www.ceramique.fr;"01.56.56.70.00 ; 01.56.56.70.76";;
751139801;;48.8271347, 2.3650381;prêt entre bibliothèques,catalogue en ligne,accès bases de données externes;http://catalogue.univ-paris1.fr;90 rue de Tolbiac;Paris;75013;"[""SCD Paris 1"", ""Service commun de la documentation de l'Université Paris 1 Panthéon-Sorbonne""]";Université Panthéon-Sorbonne. Service commun de la documentation;UNIVERSITE PANTHEON-SORBONNE (PARIS);Autres;12;Voir aux différentes bibliothèques du SCD;4 semaines en juillet-août. Période de Noël : voir aux différentes bibliothèques du SCD;Voir aux différentes bibliothèques du SCD;;;;01 44 07 88 02;http://www.pantheonsorbonne.fr/bibliotheques;01 44 07 88 14;Ce service ne possède physiquement aucun document (voir les différentes bibliothèques du SCD);
751125103;/06871/00213052;48.835643, 2.409049;consultation sur place,prêt à domicile,reproduction,renseignements bibliographiques,catalogue en ligne,accès internet via ordinateur personnel,accueil de classes/groupes;http://ressources.histoire-immigration.fr/;293, avenue Daumesnil;Paris;75012;;Médiathèque Abdelmalek Sayad.  Musée de l'Histoire de l'Immigration. Palais de la Porte Dorée;;Bibliothèque ou centre de documentation spécialisé;3;du mardi au vendredi de 14h à 17h30, le samedi de 14h à 19h;la semaine entre Noël et le jour de l'An et le mois d'août;Accès libre et gratuit;"métro Porte Dorée (ligne 8)
bus : 46 et PC";Tous publics;T;;http://www.histoire-immigration.fr/education-et-recherche/la-mediatheque;01.53.59.15.92;"La médiathèque du Musée  de l’Histoire de l’Immigration est en France la première médiathèque spécialisée dans les thématiques de l’histoire, la mémoire et les cultures de l’immigration en France du XIXe siècle à nos jours

Les fonds spécifiques : 
• Les productions du réseau des partenaires de la Cité : documents édités par les collectivités, associations, organismes publics à l’occasion de projets autour de la 
mémoire, de l’histoire et des cultures de l’immigration. 
• Les archives privées du sociologue Abdelmalek Sayad : manuscrits, documentation personnelle, enquêtes, collectes de témoignages, photographies et enregistrements sonores… 
 
En 2008, les Ateliers Varan (école de documentaristes créée par Jean Rouch) ont déposé à la médiathèque l’ensemble des films réalisés par leurs stagiaires sur les thématiques de l’histoire, de la mémoire et des cultures de l’immigration, soit près de 90 films.
• Pour les visiteurs de l’Aquarium tropical (qui  est également installé dans le Palais de la Porte Dorée),  des ouvrages, des revues d’aquariologie et plus de 300 films issus du Festival Mondial de l’Image sous-marine.";20 000 références : 10 000 ouvrages (dont 500 livres jeunesse), 8 000 articles de périodiques, 800 films (documentaires ou fictions), des témoignages écrits et sonores, des bases de données
751062302;/06871/0028953;48.8424034, 2.3353206;reproduction,réservation de documents,renseignements bibliographiques;;9, rue Michelet;Paris;75006;Université Paris 4. Institut d'études slaves;Centre d'études slaves. Bibliothèque;UNIVERSITE DE PARIS-SORBONNE (PARIS);Bibliothèque ou institut universitaire;2;Lundi au vendredi 11h-17h;"15 juillet - premier lundi de septembre ; vacances de Noël et de Pâques";Tous publics;;Accès réservé;R;01 55 42 14 66;http://www.etudes-slaves.paris4.sorbonne.fr;01 43 26 77 09;"Langues couvertes : russe, ukrainien, biélorusse (43 000 titres) ; tchèque et slovaque (14 000) ; polonais (5 600), serbe, croate, slovène et macédonien (6 300) ; bulgare (3 300) ; sorabe ; polabe.
Egalement à la marge, domaine balte, hongrois, roumain.

Disciplines représentées : littérature, linguistique, histoire, ethnologie. 
Egalement à la marge archéologie, beaux-arts, philosophie, sciences religieuses.";Volumétrie globale : 200 000 documents
920736201;/06871/0027505;48.870551, 2.228923;consultation sur place,prêt à domicile,reproduction,prêt entre bibliothèques,réservation de documents,élaboration de bibliographies,catalogue en ligne,accès bases de données externes;http://www.mediatheque-suresnes.fr/;5, rue Ledru Rollin;Suresnes;92150;;Médiathèque municipale;;Bibliothèque médiathèque municipale ou intercommunale;1;"Mardi, jeudi, vendredi : 12h30 - 19h00
Mercredi, samedi : 10h30 - 18h30
Dimanche : 14h00-18h00";Les jours fériés, les samedis de pâques et de pentecôte, la première quinzaine du mois d’août.;;;Tous publics;T;;http://www.mediatheque-suresnes.fr/;01.41.18.16.69;La médiathèque offre un fonds riche et varié, régulièrement actualisé de nouvelles collections. Le catalogue de 130 000 références, élargi par un choix de sites internet, représente un outil performant de documentation et de loisirs pour tous les publics.;
784186201;/06871/0027267;48.9075452, 2.1475385;consultation sur place,prêt à domicile,réservation de documents,catalogue en ligne,accès internet,compte utilisateur/lecteur,accueil petite enfance - Heure du conte,accueil de classes/groupes;http://www.bibliotheque-montesson.net/bibliotheque-montesson.net/;12, boulevard de la République;Montesson;78360;;Bibliothèque municipale Louis Aragon;;Bibliothèque médiathèque municipale ou intercommunale;1;"mardi: 15h-19h
mercredi: 10h-12h et 14h-18h
vendredi: 14h-18h
samedi: 10h-12h30 et 14h-17h30";;;;Tous publics;T;01.30.71.18.55;http://www.bibliotheque-montesson.net/bibliotheque-montesson.net/;01.30.71.18.55;Collection encyclopédique et multimédia de lecture publique;"Monographies (30 000); Périodiques (60);"
783565101;/06871/00211109;48.735709, 2.0722315;consultation sur place,catalogue en ligne;http://ccbmn.culture.fr;Route de Dampierre;Magny les Hameaux;78114;Centre de ressources et d’interprétation (CRDI) de Port-Royal des Champs;Musée national des Granges de Port-Royal. Bibliothèque;;Musée;8;"Le Salon de lecture du CRDI est ouvert au public le mercredi et le samedi de 10h-12h et 14h-18h

Le CRDI est en accès libre avec un billet d'entrée parc (1€), musée (4,5€) ou gratuitement avec la carte lecteur CRDI ou médiathèque SQY.";;;;Tous publics;T;;http://www.port-royal-des-champs.eu/;01 39 30 72 73;"Le CDRI vise à assurer la valorisation des ressources documentaires vers le musée, les partenaires, les réseaux éducatifs, universitaires et associatifs autour de Port-Royal,

c’est un:

    *centre de ressources documentaires dédié à la mémoire de Port-Royal et de son territoire

    *centre d'interprétation du patrimoine, matériel ou immatériel, associé à Port-Royal et son environnement

    *lieu de rencontres, d'échanges et de découvertesdédié aux grands thèmes de Port-Royal, à l'ouverture des savoirs, à la mémoire collective et aux conscience citoyenne.

Le CRDI est un espace en accès libre (ouvert en consultation tout public), de 115 m2, situé au rez de chaussée du musée (aile du château du XIXème siècle).Manuscrits, livres et gravures portant surtout sur l'histoire de Port-Royal et du mouvement janséniste. 
En outre, le musée présente plusieurs tableaux peints par Philippe de Champaigne pour Port-Royal.";"Manuscrits et incunables.

Fonds documentaires :

Le CRDI dispose aujourd'hui de plus de 13200 unités documentaires :

    *plus de 6000 ouvrages imprimés anciens

    *plus de 5000 ouvrages de bibliographie moderne

    *1200 pièces d'archives anciennes (17ème au 19ème siècle)

    *1000 dossiers documentaires

*Dont 3000 volumes en accès libre dans le salon de lecture."
751052342;;48.8417142, 2.3450265;prêt à domicile,catalogue en ligne;http://halley.ens.fr/search*frf~S1;45 rue d'Ulm;Paris;75230;ENS (Paris). Bibliothèque Ulm LSH;Ecole normale supérieure. Bibliothèque d'Ulm - Lettres et sciences humaines;FRANCE (MINISTERE DE L'EDUCATION NATIONALE, DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE);Autres;12;Lundi-vendredi : 9h00-20h00 * samedi : 9h00-19h00 *;"3 semaines l'été ; 1 semaine à Noël";"Elèves, étudiants inscrits et personnes en poste ou hébergées à l'ENS, anciens élèves de l'ENS ; chercheurs et étudiants autorisés (niveau doctoral)";;Accès réservé;R;01-44-32-30-30;http://halley.ens.fr/;01-44-32-31-51;Environ 00 000 volumes de monographies (dont 500 000 en libre-accès) et 1600 titres de périodiques vivants en lettres et sciences humaines.;
951279901;/06871/00212342;49.037088, 2.080817;renseignements bibliographiques,catalogue en ligne;http://cerfeuil-web.bibu2.u-cergy.fr;Place des Cerclades;Cergy-Pontoise;95015;;Université de Cergy-Pontoise;UNIVERSITE DE CERGY-PONTOISE;Bibliothèque ou institut universitaire;2;Lundi au vendredi 9h-20h * Samedi 9h-19h * Horaires élargis sur 16 semaines 9h-22h (voir site web de la BU) * Horaires réduits 9h-18h pendant les vacances de fin d’année et d’été;;;;;;01.34.25.60.75;http://www.u-cergy.fr/fr/bibliotheque.html;01.34.25.60.74;;
772882301;/06871/00213421;48.5324962, 2.6530549;consultation sur place,prêt à domicile,catalogue en ligne;http://athena.u-pec.fr/;3, rue de Belle Ombre;Melun;77008;ESPE de Créteil;École Supérieure du Professorat et de l’Éducation de l'académie de Créteil;UNIVERSITE PARIS-EST CRETEIL VAL DE MARNE;Bibliothèque ou institut universitaire;2;Du lundi au vendredi : 8h30-18h;Une semaine à Noël, une semaine en avril, 4 semaines en août;Réservé aux étudiants, aux enseignants et aux lecteurs autorisés;;;;;http://bibliotheque.u-pec.fr/vos-bibliotheques/espe/;01.64.41.35.04;;
751092301;/06871/00240;48.8725346, 2.3468815;consultation sur place,reproduction,prêt entre bibliothèques,renseignements bibliographiques;;2 bis, rue du Conservatoire;Paris;75009;CNSAD;Conservatoire national supérieur d'art dramatique. Bibliothèque Béatrix Dussane;MINISTERE DE LA CULTURE ET DE LA COMMUNICATION;Autres;12;Lundi, Mardi, Mercredi, Jeudi 9h30-19h00 * Vendredi 12h00-19h00;"Une semaine par vacances scolaires (Noël, Février, Pâques) ; de mi-juillet à fin août";Accessible handicapés;;Tous publics;T;;http://www.cnsad.fr;01-42-46-12-91;;
751035202;;48.8585426, 2.3633224;consultation sur place,reproduction,réservation de documents,renseignements bibliographiques,catalogue en ligne,accès bases de données externes;http://vzlbs2.gbv.de/DB=44/LNG=DU/;8, rue Parc Royal;Paris;75003;"[""DHIP"", ""Deutsches historisches Institut Paris""]";Institut historique allemand;ALLEMAGNE. MINISTERE DE LA RECHERCHE SCIENTIFIQUE ET DE LA TECHNOLOGIE;Bibliothèque ou centre de documentation spécialisé;3;"Du lundi au jeudi : 10h-18h ; vendredi : 10h-17h";Pas de fermeture;Tous publics, après procédure d'accréditation. L'accréditation est automatique pour les chercheurs, étudiants et personnes travaillant sur un projet nécessitant le recours aux fonds de la bibliothèque, soumise à l'autorisation dans d'autres cas;;Tous publics;T;;http://www.dhi-paris.fr;01 44 54 23 80;La bibliothèque dispose d'un fonds de 120 000 volumes concernant l'histoire de l'Allemagne et de la france, l'histoire régionale allemande, les relations franco-allemandes et l'histoire de l'Europe occidentale de l'Antiquité tardive jusqu'à aujourd'hui.;"Les ouvrages allemands constituent 60% du fonds,les français 30% et les ouvrages en d'autres langues (anglais) 10%.
+
Un grand nombre de revues dont 350 revues en cours , remontant souvent au 19ème siècle  et nombreuses ressources électroniques (livres numériques, bases de données, revues scientifiques et archives de presse en ligne). La bibliothèque est abonnée à plusieurs bouquets de licences collectives et nationales allemandes mais acquiert également des licences à titre individuel ou en collaboration avec les autres bibliothèques  de la fondation Max Weber Stiftung."
;/06871/00214200;;;http://ccbmn.culture.fr;;Paris;75001;RBMN;Réseau des bibliothèques des musées nationaux;MINISTERE DE LA CULTURE;Réseau de bibliothèques;10;;;;;;;;http://ccbmn.culture.fr/F?RN=674417602;;"Le Réseau des Bibliothèques de Musées Nationaux (RBMN) réunit actuellement les bibliothèques de vingt musées nationaux (le musée national du château de Compiègne et le musée franco-américain de Blérancourt, le musée national du château de Fontainebleau, le musée national du château de Versailles, le musée national des Granges de Port Royal, le Musée national de Malmaison, la Maison Bonaparte à Ajaccio et le musée napoléonien de l’Ile d’Aix, le Musée national du château de Pau, le musée des arts asiatiques Guimet, le musée Magnin, le musée national de la Préhistoire et le musée d’archéologie nationale, le musée national du Moyen Age, Thermes et hôtel de Cluny, le musée national de la Renaissance, le musée du Louvre, le musée d’Orsay et le musée de l’Orangerie, le musée national Marc Chagall et le musée national Fernand Léger), les bibliothèques du Centre de recherche et de restauration des musées de France (C2RMF), la bibliothèque de l’unité de documentation du service des musées de France (SMF).

Ces bibliothèques conservent des fonds spécifiques, liés aux collections des musées. Les bibliothèques du C2RMF concernent la recherche et la restauration. Celle du SMF, qui bénéficie d’un dépôt de l’ICOM depuis 1995, propose un fonds de catalogues de collections permanentes de musées de France et de musées étrangers, ainsi que des ouvrages concernant la muséographie, la muséologie, l’histoire des musées et des collections, l’architecture des musées…";
751021001;;48.867489, 2.33838;consultation sur place,libre-accès,reproduction,réservation de documents,renseignements bibliographiques,catalogue en ligne,accès bases de données externes,autre service;https://catalogue.bnf.fr/;58, rue de Richelieu;Paris;75082;BnF.  Site Richelieu.  Département des Estampes et de la Photographie;Bibliothèque nationale de France;FRANCE. MINISTERE DE LA CULTURE;Bibliothèque nationale;13;Du lundi au samedi (10h-18h) * Réserve : du mardi au jeudi (10h-13h);Fermeture annuelle d'une dizaine de jours, généralement au début du mois de septembre, voir le site http://www.bnf.fr;Accès de droit à partir du master 1 mais également aux lecteurs justifiant d'un objet de recherche d'ordre universitaire, professionnel ou personnel nécessitant le recours aux collections de la bibliothèque de Recherche;"Les communications cessent à 17h (samedi 16h30) et sont interrompues de 12h30 à 13h30 pour les documents originaux.
La salle de la Réserve est ouverte les mardi et jeudi de 10h à 12h.";Accès réservé;R;+33 1 53 79 83 07;http://www.bnf.fr;+33 1 53 79 83 70;"Département spécialisé. 
Gravures, dessins, photographies, affiches, cartes postales, étiquettes, cartes à jouer, échantillons de tissus... imprimés. 
En outre : 450 000 négatifs photographiques, 270 000 tirages papier (Photothèque) et 2 000 objets.
Avec les entrées de photographies, d'estampes originales et de livres d'artistes, le Département est aussi une collection vivante d'art contemporain.";"Monographies (320 000); Périodiques (800); Estampes (6 600 000); Photographies (3 500 000); Microformes (45 000); Affiches (200 000); Cartes postales (500 000)"
912729901;/06871/00213769;48.7086731, 2.1633173;prêt entre bibliothèques,catalogue en ligne;https://bibli.centralesupelec.fr;3, rue Joliot-Curie;Gif-sur-Yvette;91192;;CentraleSupélec. Bibliothèque électronique;;Autres;12;Consulter le site web pour connaître les horaires d'ouverture des bibliothèques de CentraleSupélec.;;Accès local et à distance pour les étudiants, enseignants, chercheurs et personnels de CentraleSupélec.;;;;01.41.13.15.14;http://www.cdoc.ecp.fr;01.41.13.18.92;;
940375301;/06871/00213975;48.8118831, 2.3515018;bibliothèque numérique;;62, rue Gabriel Péri;Gentilly;94250;;Fédération Française de Handball. Centre de ressources documentaires;;Bibliothèque ou centre de documentation spécialisé;3;;;;;;;;;;Le centre de ressources documentaires de la Fédération Française de Handball, conserve les archives de la fédération ainsi que les collections issues de Leg’Hand, le Musée du Handball. Le fonds documentaire du centre de ressources est composé d’ouvrages, de périodiques, d’objets, de photos et de vidéos.;
930485301;/06871/00211058;48.8662699, 2.4696974;consultation sur place,reproduction,réservation de documents,renseignements bibliographiques,catalogue en ligne;;31, boulevard Théophile Sueur;Montreuil;93100;;Musée de l'Histoire vivante.  Service Documentation et Archives;"DIRECTION DES MUSEES DE FRANCE ; VILLE DE MONTREUIL ; CONSEIL GENERAL.";Musée;8;Sur rendez-vous pour des recherches documentaires,  du lundi au vendredi de 10h à 17h,  sauf lundi et mardi matin.;Août;;Accès handicapés;Accès réservé;R;01.48.55.16.34;http://www.museehistoirevivante.fr/collections/;01 48 54 32 44 / 01 48 54 36 08;"Le Musée de l'Histoire vivante traite du mouvement social, de la colonisation et de la décolonisation, de la banlieue et du patrimoine industriel de la ville. 

Le Fonds Révolution française comprend 1 600 gravures, le fonds Commune de Paris  7000 documents.  

La bibliothèque de Jaurès provient en grande partie du journal l'Humanité.  

Le Musée possède, pour le fonds Résistance, de nombreux tracts, journaux clandestins, des journaux de prisons, de baraques et de camps d'internement.";"Volumétrie globale : 300 mètres linéaires.

Monographies; Périodiques; Textes manuscrits; Images fixes"
771526201;/06871/0026955;48.5216944, 2.6403291;consultation sur place,prêt à domicile,réservation de documents,élaboration de bibliographies,portage de documents à domicile,accès internet,ateliers enfants/adultes;;Place du 8 mai 1945;Dammarie-lès-Lys;77190;;Médiathèque municipale de Dammarie-lès-Lys;;Bibliothèque médiathèque municipale ou intercommunale;1;"Mardi: 14h-19h
Jeudi et vendredi:  14h-18h  
Mercredi et samedi :10h-12h et 14h-18h
Horaires réduits en été";;;;Tous publics;T;01.64.87.49.13;http://www.mairie-dammarie-les-lys.fr/loisirs-sports-culture/vos-sorties/mediatheque-1;01.64.87.49.20;Collection encyclopédique et multimédia de lecture publique;
914346201;/06871/0027282;48.6644848, 2.3530616;consultation sur place,prêt à domicile,reproduction,réservation de documents,catalogue en ligne;http://217.108.122.186:8080/worweb.dll?;Place des Trois Martyrs;Morsang sur Orge;91390;;Médiathèque Louis Aragon;;Bibliothèque médiathèque municipale ou intercommunale;1;"Mardi : 14h-18h
Mercr. : 9h-12h, 14h-18h
Jeudi : 14h-19h
Sam. : 9h-12h, 14h-17h";;;Horaires réduits en juillet et août;Tous publics;T;;http://www.ville-morsang.fr/;01.69.72.20.33;Collection encyclopédique et multimédia du Val d'Orge;"Espace adultes :  romans, bandes dessinées et mangas, revues et presse, documentaires, livres en gros caractères et textes lus sur CD et MP3, livres en langues étrangères et méthodes de langues, des livres et revues pour préparer les concours, se former ou s’orienter.
Espace jeunesse : contes, revues, albums, romans, bandes dessinées et  documentaires.
Espace pour les adolescents : romans, revues et bandes dessinées."
916576201;/06871/0027565;48.7001333, 2.4195294;consultation sur place,prêt à domicile,reproduction,réservation de documents;;63, avenue Henri Barbusse;Vigneux sur Seine;91270;;Bibliothèque municipale;;Bibliothèque médiathèque municipale ou intercommunale;1;"le mardi de 15h à 19h 
le mercredi de 10h à 12h et de 13h à 18h 
le jeudi de 15h à 18h 
le vendredi de 14h à 18h 
le samedi de 10h à 12h et de 13h à 17h";;;;Tous publics;T;;http://www.mairie-vigneux-sur-seine.fr/spip.php?article78;01.69.03.38.70;Collection encyclopédique et multimédia de lecture publique;Plus de 50 000 documents : livres, journaux, magazines, compact disques, cédéroms et vidéos.
751112301;/06871/0028968;48.8642811, 2.3807013;prêt à domicile,prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,catalogue en ligne,accès bases de données externes,autre service;;79, avenue de la République;Paris;75011;"[""ECOLE SUPERIEURE DE COMMERCE DE PARIS"", ""GROUPE ECOLE SUPERIEURE DE COMMERCE DE PARIS"", ""ESCP"", ""GROUPE ESCP"", ""SUP DE CO"", ""ESCP-EAP""]";ESCP EUROPE;CCI PARIS ILE-DE-FRANCE;Autres;12;"Lundi à vendredi : 9h-21h ; samedi : 9h-13h";Vacances de Noël - 3 semaines en août;Réservé aux etudiants, aux enseignants de l'ESCP EUROPE et aux lecteurs autorisés;;Accès réservé;R;01.49.23.21.25;http://www.escpeurope.eu;01.49.23.21.28;;
751105101;;48.881683, 2.3584668;prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies,accès bases de données externes;;200, rue du Faubourg Saint Denis;Paris;75475;ASITEST;Centre français d'informations toxicologiques;CHU LARIBOISIERE SAINT LOUIS;Bibliothèque ou centre de documentation spécialisé;3;Accueil uniquement sur rendez-vous;Août;Tous publics,;;Tous publics;T;01.40.05.41.93;;01.40.05.43.35;;
751085205;/06871/0029753;48.8736402, 2.3008889;prêt entre bibliothèques,réservation de documents,renseignements bibliographiques,élaboration de bibliographies;;16 rue Chateaubriand;Paris;75382;;Chambre de commerce et d'industrie de Paris. Centre de documentation économique;;Bibliothèque ou centre de documentation spécialisé;3;"Lundi au vendredi:9h-13h ; 14h-17h sauf mercredi et vendredi apres-midi";Aout et derniere semaine de decembre;Tous publics,;;Tous publics;T;;http://www.ccip.fr/;01.55.65.72.72;;
