etablissement_id_paysage;uo_lib;nom_court;sigle;type_d_etablissement;typologie_d_universites_et_assimiles;secteur_d_etablissement;vague_contractuelle;localisation;url;coordonnees;uai;anciens_codes_uai;siret;siren;rna;identifiant_wikidata;element_wikidata;identifiant_idref;identifiant_eter;identifiant_ror;element_ror;identifiant_pic;identifiant_orgref;identifiant_isni;element_isni;element_fundref;date_creation;texte_de_ref_creation_lib;texte_de_ref_creation;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;reg_id_old;reg_nom_old;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;numero_telephone_uai;statut_juridique_court;statut_juridique_long;compte_facebook;compte_twitter;compte_instagram;compte_flickr;compte_pinterest;flux_rss;compte_linkedin;compte_france_culture;compte_scribd;compte_scoopit;compte_tumblr;compte_youtube;compte_vimeo;compte_dailymotion;compte_github;wikipedia;wikipedia_en;scanr;hal;mooc;article;uo_lib_officiel;uo_lib_en;url_en;url_cn;url_es;url_de;url_it;universites_fusionnees;etablissement_experimental;champ_recherche;inscrits;inscrits_2010;inscrits_2011;inscrits_2012;inscrits_2013;inscrits_2014;inscrits_2015;inscrits_2016;inscrits_2017;inscrits_2018;inscrits_2019;inscrits_2020;inscrits_2021;inscrits_2022
vxHYt;Avignon Université;;AU;Université;Université pluridisciplinaire hors santé;public;Vague C;Provence-Alpes-Côte d'Azur>Aix-Marseille>Vaucluse>Avignon;https://univ-avignon.fr/;43.95005,4.81789;0840685N;;19840685200204;198406852;;Q2033119;https://www.wikidata.org/entity/Q2033119;026369044;FR0236;00mfpxb84;https://ror.org/00mfpxb84;999576465;6881164;0000 0001 2190 2394;http://www.isni.org/0000 0001 2190 2394;;1984-07-26;Décret n° 84-723 du 17 juillet 1984 fixant la classification d'établissements publics à caractère scientifique, culturel et professionnel;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000503527;84007;Avignon;UU00754;Avignon;D084;Vaucluse;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;R93;Provence-Alpes-Côte d'Azur;;74 rue Louis Pasteur;;;84029;Avignon CEDEX 1;France;+33490162500;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Universite.Avignon/;https://twitter.com/univavignon;https://www.instagram.com/univavignon/;https://www.flickr.com/photos/univavignon;;https://univ-avignon.fr/adminsite/webservices/export_rss.jsp?objet=actualite&SELECTION=0001&TRI_DATE=DATE_ASC;https://www.linkedin.com/school/avignon-universit%C3%A9/;https://www.franceculture.fr/conferences/universite-davignon-et-des-pays-de-vaucluse;;;;https://www.youtube.com/user/UnivAvignon;https://vimeo.com/univavignon;;;;;;;;à;Université d'Avignon;Avignon University;;;;;;;;"Université d'Avignon;Université d'Avignon et des pays de Vaucluse;Avignon Université;University of Avignon and the Vaucluse;Avignon University;AU";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=vxHYt;6601;6581;6755;6478;6519;6716;6789;6677;6954.0;6946.0;7086.0;6787.0;6346.0
vH695;Centre des hautes études de la construction;;CHEC;École;;privé;Vague E;Île-de-France>Créteil>Val-de-Marne>Paris>Arcueil;https://chec.fr/;48.800733327820986,2.327309846878052;0942283W;;78461701100076;784617011;;Q97293012;https://www.wikidata.org/entity/Q97293012;;;014e1xw86;https://ror.org/014e1xw86;;;;;;1957-09-01;;;94003;Arcueil;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;1 rue Paul Bert;;;94110;ARCUEIL;France;+33149691770;Association loi de 1901;Association loi de 1901;;;;;;;;;;;;;;;;;;;;;au;;;;;;;;;;"Centre des hautes études de la construction;CHEC";;;;;;;;;;;;;;
YPOQX;École nationale du génie de l'eau et de l'environnement de Strasbourg;;ENGEES;École;;public;Vague C;Grand Est>Strasbourg>Bas-Rhin>Strasbourg;https://engees.unistra.fr/;48.580797,7.758744;0670189S;;"19670189000028;19670189000010";196701890;;Q3578160;https://www.wikidata.org/entity/Q3578160;199743169;FR0147;02jhjzd11;https://ror.org/02jhjzd11;;;0000 0000 8652 7065;http://www.isni.org/0000 0000 8652 7065;;1952;;;67482;Strasbourg;UU67701;Strasbourg;D067;Bas-Rhin;A15;Strasbourg;R44;Grand Est;R42;Alsace;;1 Cour des Cigarières;;;67000;Strasbourg;France;+33388248282;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/engees.ecole/;https://twitter.com/engees_ecole;https://www.instagram.com/engees.ecole/;;;;https://www.linkedin.com/school/ecole-nationale-du-g%C3%A9nie-de-l'eau-et-de-l'environnement-de-strasbourg/;;;;;https://www.youtube.com/channel/UCqa56QW-5hqqN_fjU1vV-Ew;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/196701890;https://hal.archives-ouvertes.fr/ENGEES;;à l';;National School for Water and Environmental Engineering;https://engees.unistra.fr/en/;;;https://engees.unistra.fr/de/;;;;"École nationale du génie de l'eau et de l'environnement de Strasbourg;National School for Water and Environmental Engineering;ENGEES";;;;;;;;;;;;;;
IlIW8;École nationale supérieure de mécanique et d'aérotechnique de Poitiers;;ISAE-ENSMA;École;;public;Vague B;Nouvelle-Aquitaine>Poitiers>Vienne>Poitiers>Chasseneuil-du-Poitou;https://www.ensma.fr/;46.661,0.362013;0860073M;;19860073600021;198600736;;Q391044;https://www.wikidata.org/entity/Q391044;028024400;FR0238;04jx68594;https://ror.org/04jx68594;996067878;8102323;0000 0001 2178 9782;http://www.isni.org/0000 0001 2178 9782;;1948-04-03;;;86062;Chasseneuil-du-Poitou;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Nouvelle-Aquitaine;R54;Poitou-Charentes;Téléport 2;1 avenue Clément Ader;;BP 40109;86961;Futuroscope Chasseneuil CEDEX;France;+33549498080;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/isae.ensma86/;https://twitter.com/isae_ensma;;;;;https://www.linkedin.com/school/ecole-nationale-sup%C3%A9rieure-de-m%C3%A9canique-et-d'a%C3%A9rotechnique/;;;;;https://www.youtube.com/channel/UCjckbOkZI2k3oiG68yoOZ9w;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/198600736;;;à l';;;https://www.ensma.fr/en/;;;;;;;"École nationale supérieure de mécanique et d'aérotechnique de Poitiers;ISAE-ENSMA";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=IlIW8;631;629;661;673;689;712;723;716;722.0;771.0;728.0;718.0;768.0
AKszJ;École navale;;EN;Grand établissement;;public;Vague B;Bretagne>Rennes>Finistère>Lanvéoc;https://www.ecole-navale.fr/;48.279263,-4.417857;0290124C;;15000096600013;150000966;;Q974394;https://www.wikidata.org/entity/Q974394;032760639;;030txnd05;https://ror.org/030txnd05;912460959;4530642;0000 0000 9054 452X;http://www.isni.org/0000 0000 9054 452X;;1827;;;29120;Lanvéoc;CR29120;Lanvéoc;D029;Finistère;A14;Rennes;R53;Bretagne;R53;Bretagne;BCRM Brest;;;CC 600;29200;Brest CEDEX 9;France;;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Ecole.navale;https://twitter.com/Ecole_navale;;;;;https://www.linkedin.com/school/ecole-navale/;;;;;https://www.youtube.com/channel/UCvETPmbfcbZgSHlNPEHhZ-w;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/150000966;;;à l';;French naval academy;;;;;;;;"École navale;French naval academy;EN";;;;;;;;;;;;;;
tJRnj;École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP;;École;;privé;Vague E;Île-de-France>Créteil>Val-de-Marne>Paris>Cachan;https://www.estp.fr/;48.79422078629043,2.328532934188843;"0753607N;0942340H";;32500211100012;325002111;;Q273483;https://www.wikidata.org/entity/Q273483;027534138;FR0272;04nwg1t42;https://ror.org/04nwg1t42;;;0000 0000 8649 3272;http://www.isni.org/0000 0000 8649 3272;;1891;;;94016;Cachan;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;28 avenue du Président Wilson;;;94230;Cachan;France;+33149085650;Association loi de 1901;Association loi de 1901;https://www.facebook.com/estpparis;https://twitter.com/estpparis;https://www.instagram.com/estp_paris/;;;;https://www.linkedin.com/edu/school?id=12401&trk=edu-cp-title;;;;;https://www.youtube.com/channel/UC5iiwbtq1MklHFo0kYuofcg;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/325002111;;;à l';;;https://www.estp.fr/en;;;;;;;"École spéciale des travaux publics, du bâtiment et de l'industrie;ESTP";;;;;;;;;;;;;;
A2hM0;Institut des relations publiques et de la communication d’Angers;Ircom;IRCOM;École;;privé;;Pays de la Loire>Nantes>Maine-et-Loire>Angers>Les Ponts-de-Cé;https://www.ircom.fr/;47.44304,-0.53222;0492062A;;32949147600019;329491476;;Q74181405;https://www.wikidata.org/entity/Q74181405;02960480X;;;;;;;;;1984;;;49246;Les Ponts-de-Cé;UU49701;Angers;D049;Maine-et-Loire;A17;Nantes;R52;Pays de la Loire;R52;Pays de la Loire;;23 rue Edouard Guinel;;CS 10059;49136;Les Ponts-de-Cé CEDEX;France;;Association loi de 1901;Association loi de 1901;https://www.facebook.com/IrcomGroupe;https://twitter.com/Ircom_Groupe;;;;;https://www.linkedin.com/school/1044488?pathWildcard=1044488;;;;;https://www.youtube.com/user/groupeIrcom;;;;;;;;;à l';;;;;;;;;;"Institut des relations publiques et de la communication d’Angers;Ircom;IRCOM";;;;;;;;;;;;;;
hfCvd;Sciences Po Lyon;IEP de Lyon;IEP Lyon;Autre établissement;;public;Vague A;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 7e;https://www.sciencespo-lyon.fr/;45.7471,4.8354;0690173N;;19690173000024;196901730;;Q2253344;https://www.wikidata.org/entity/Q2253344;028888537;;02h3vcz70;https://ror.org/02h3vcz70;;;0000 0004 1806 159X;http://www.isni.org/0000 0004 1806 159X;;1948-05-06;;;69387;Lyon 7e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;14 avenue Berthelot;;;69007;Lyon;France;+33437283800;EPA;Établissement public national à caractère administratif;https://www.facebook.com/ScPoLyon/;https://twitter.com/scpolyon;;;;https://www.sciencespo-lyon.fr/rss/actualites.xml;https://www.linkedin.com/school/institut-d'etudes-politiques-de-lyon/;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/196901730;;;à;Institut d'études politiques de Lyon;;;;;;;;;"Institut d'études politiques de Lyon;Sciences Po Lyon;IEP de Lyon;IEP Lyon";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=hfCvd;1615;1590;1515;1491;1504;1540;1531;1577;1662.0;1714.0;1694.0;1780.0;1726.0
l4myZ;Institut protestant de théologie;IPT;;École;;privé;;Île-de-France>Paris>Paris 14e;https://ipt-edu.fr/;48.834229,2.337221;0753605L;;31238101500014;312381015;W751035223;Q3064314;https://www.wikidata.org/entity/Q3064314;029412706;;;;;;;;;1877;;;75114;Paris 14e;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;R11;Île-de-France;;83 boulevard Arago;;;75014;Paris;France;+33143316164;Association loi de 1901;Association loi de 1901;;;;;;;;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/312381015;;;à l';;;;;;;;;;"Institut protestant de théologie;IPT";;;;;;;;;;;;;;
2Nnrv;Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO;;Grand établissement;;public;Vague A;Occitanie>Toulouse>Haute-Garonne>Toulouse;https://www.isae-supaero.fr/;43.5656,1.47408;0312760G;"0310146R;0311587G";13000427800011;130004278;;Q155446;https://www.wikidata.org/entity/Q155446;026523493;FR0041;04gyj6s21;https://ror.org/04gyj6s21;999892491;;;;;2007-09-27;Décret n° 2007-1384 du 24 septembre 2007 portant création de l'Institut supérieur de l'aéronautique et de l'espace;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000469118/;31555;Toulouse;UU00758;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Occitanie;R73;Midi-Pyrénées;;10 avenue Édouard Belin;;BP 54032;31055;Toulouse CEDEX 4;France;+33562178080;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/isae.supaero;https://twitter.com/ISAE_officiel;;;;;https://www.linkedin.com/school/isae/;;;;;https://www.youtube.com/user/ISAEcom;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/130004278;;https://www.fun-mooc.fr/fr/etablissements/isae-supaero/;à l';;;https://www.isae-supaero.fr/en/;;;;;;;"Institut supérieur de l'aéronautique et de l'espace;ISAE-SUPAERO";;;;;;;;;;;;;;
eUjTI;Institut supérieur de l'électronique et du numérique de Brest;ISEN Ouest;;École;;privé;Vague B;Bretagne>Rennes>Finistère>Brest;https://isen-ouest.fr/;48.407023,-4.495576;0292125C;;"39779265600019;39779265600027";397792656;W291000048;Q51648617;https://www.wikidata.org/entity/Q51648617;177681446;FR0028;;;;;;;;1994-09-01;;;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;R53;Bretagne;;20 rue Cuirassé Bretagne;;CS 42807;29200;Brest;France;+33298038400;Association loi de 1901;Association loi de 1901;https://www.facebook.com/ISEN.Brest;https://twitter.com/isenbrest;;;;;;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/397792656;;;à l';Yncréa Ouest;;;;;;;;;"Yncréa Ouest;Institut supérieur de l'électronique et du numérique de Brest;ISEN Ouest";;;;;;;;;;;;;;
IAJOc;Skema Business School;Skema;;École;;privé;Vague D;Hauts-de-France>Lille>Nord>Lille;https://www.skema.edu/fr;50.63642,3.07581;0590346F;0060656F;"78370584100014;78370584100022";783705841;W595008501;Q3486229;https://www.wikidata.org/entity/Q3486229;198630298;;036h8vg94;https://ror.org/036h8vg94;;;;;;2009-11-18;;;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;Avenue Willy Brandt;;;59777;Euralille;France;+33320215962;Association loi de 1901;Association loi de 1901;https://www.facebook.com/SKEMA.Business.School;https://twitter.com/Skema_BS;https://www.instagram.com/skema_bs/;;;;https://www.linkedin.com/school/skema-business-school/;;;;;https://www.youtube.com/channel/UCe7qLPaOM_nKULhpnZIGqMA;;https://www.dailymotion.com/video/x3bfs38;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/783705841;;;à;;;https://www.skema.edu/en;https://www.skema-bs.cn/;;;;;;"Skema Business School;Skema";;;;;;;;;;;;;;
Mz286;Université de Pau et des Pays de l'Adour;;UPPA;Université;Université pluridisciplinaire hors santé;public;Vague B;Nouvelle-Aquitaine>Bordeaux>Pyrénées-Atlantiques>Pau;https://www.univ-pau.fr/fr/index.html;43.31372,-0.36509;0640251A;;19640251500270;196402515;;Q572968;https://www.wikidata.org/entity/Q572968;026403668;FR0140;01frn9647;https://ror.org/01frn9647;999849811;7235991;0000 0001 2289 818X;http://www.isni.org/0000 0001 2289 818X;;1971-01-01;Décret n° 70-1174 du 17 décembre 1970 portant érection en établissements publics à caractère scientifique et culturel d'universités et centres universitaires;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000511402/;64445;Pau;UU64701;Pau;D064;Pyrénées-Atlantiques;A04;Bordeaux;R75;Nouvelle-Aquitaine;R72;Aquitaine;;Avenue de l’Université;;BP 576;64012;Pau CEDEX;France;+33559407000;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/pages/Universit%C3%A9-de-Pau-et-des-Pays-de-lAdour-UPPA/154751851238234?v=wall;https://twitter.com/universite_uppa;;;;https://www.univ-pau.fr/_plugins/web/vieuppa/fr/filter/events/rss.xml;;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/196402515;https://hal-univ-pau.archives-ouvertes.fr/;;à l';Université de Pau;University of Pau and Pays de l'Adour;https://www.univ-pau.fr/en/home.html;;;;;;;"Université de Pau;Université de Pau et des Pays de l'Adour;University of Pau and Pays de l'Adour;UPPA";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=Mz286;11076;11079;11000;11003;11454;11413;11775;11753;12222.0;12619.0;13138.0;12836.0;12108.0
BOl78;École française de Rome;EFR;;Autre établissement;;public;;Étranger>Rome;https://www.efrome.it/;41.89488,12.47096;1270009V;;18004409100015;180044091;;Q273542;https://www.wikidata.org/entity/Q273542;026436922;;049b5m346;https://ror.org/049b5m346;953002303;;0000 0004 1759 1038;http://www.isni.org/0000 0004 1759 1038;;1875;;;99127;Rome;;Rome;D999;Étranger;A00;Étranger;R99;Étranger;R99;Étranger;;Piazza Farnese 67;;;00186;Roma;Italie;;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/EcoleFrancaiseDeRome/;https://twitter.com/ef_rome;https://www.instagram.com/ef_rome1875/;;;;https://fr.linkedin.com/company/ecole-fran%C3%A7aise-de-rome;;;;;https://www.youtube.com/user/ecolefrancaisederome;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/180044091;https://halshs.archives-ouvertes.fr/EFROME/;;à l';;French School of Rome;;;;;;;;"École française de Rome;EFR;French School of Rome";;;;;;;;;;;;;;
zHvr4;École nationale supérieure des arts et techniques du théâtre;;ENSATT;École;;public;Vague A;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Lyon 5e;https://www.ensatt.fr/;45.75331,4.81132;0693735K;;19750773400022;197507734;;Q3578242;https://www.wikidata.org/entity/Q3578242;154402680;;01rvv0733;https://ror.org/01rvv0733;;;0000 0000 8751 5007;http://www.isni.org/0000 0000 8751 5007;;1941-04-15;;;69385;Lyon 5e;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;;4 rue Sœur Bouvier;;;69322;Lyon CEDEX 05;France;+33478150505;EPA;Établissement public national à caractère administratif;https://www.facebook.com/ensatt.lyon/;https://twitter.com/Ensatt;https://www.instagram.com/ensatt_lyon/;;;;;;;;;;;;;;;;;;à l';;National School of Arts and Techniques of theater;;;;;;;;"École nationale supérieure des arts et techniques du théâtre;National School of Arts and Techniques of theater;ENSATT";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=zHvr4;;;;;;;;170;187.0;183.0;182.0;216.0;203.0
I4SPK;École nationale supérieure d'ingénieurs de Caen;ENSI Caen;ENSICAEN;École;;public;Vague B;Normandie>Calvados>Caen;https://www.ensicaen.fr/;49.21467,-0.36735;0141720U;;19141720300012;191417203;;Q3578208;https://www.wikidata.org/entity/Q3578208;190907991;FR0010;01fpqqe90;https://ror.org/01fpqqe90;;;0000 0000 8694 431X;http://www.isni.org/0000 0000 8694 431X;;1976;;;14118;Caen;UU14701;Caen;D014;Calvados;A70;Normandie;R28;Normandie;R25;Basse-Normandie;;6 boulevard Maréchal Juin;;CS 45053;14050;Caen CEDEX 4;France;+33231452750;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/Ensicaen;https://twitter.com/ENSICAEN;https://www.instagram.com/ensicaen_ecole.ingenieurs/;;;;https://www.linkedin.com/school/ensicaen/;;;;;https://www.youtube.com/channel/UCMcgCt5ivQK4Tss5KeweGKQ;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/191417203;;;à l';École nationale supérieure d'ingénieurs de Caen;;https://www.ensicaen.fr/?lang=en;;;;;;;"Institut des sciences de la matière et du rayonnement;École nationale supérieure d'ingénieurs de Caen;ISMRA;ENSI Caen;ENSICAEN";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=I4SPK;685;680;701;707;727;716;716;705;751.0;785.0;796.0;845.0;818.0
6mwS3;Institut supérieur d'agriculture de Lille;ISA Lille;;École;;privé;Vague E;Hauts-de-France>Lille>Nord>Lille;https://www.junia.com/fr/junia/programme-grande-ecole-isa/;50.63380812638809,3.046694397926331;0590343C;;78370700300043;783707003;;Q3117452;https://www.wikidata.org/entity/Q3117452;027994716;FR0117;02evec030;https://ror.org/02evec030;;;;;;1963-01-01;;;59350;Lille;UU59702;Lille;D059;Nord;A09;Lille;R32;Hauts-de-France;R31;Nord-Pas-de-Calais;;48 Boulevard Vauban;;;59046;Lille CEDEX;France;+33328384848;Sans personnalité juridique - secteur privé;Sans personnalité juridique - secteur privé;https://fr-fr.facebook.com/GroupeISA;https://twitter.com/ISA_Lille;https://instagram.com/isa_lille/;;;;https://www.linkedin.com/company/isa-lille;;;;;https://www.youtube.com/user/groupeisalille;;;;;;;;;dans le;;;;;;;;;;"Institut supérieur d'agriculture de Lille;ISA Lille";;;;;;;;;;;;;;
LsQ24;Université Le Havre Normandie;;UNILEHAVRE;Université;Université pluridisciplinaire hors santé;public;Vague B;Normandie>Seine-Maritime>Le Havre;https://www.univ-lehavre.fr/fr/;49.49647,0.12896;0762762P;;19762762300097;197627623;;Q1784954;https://www.wikidata.org/entity/Q1784954;031308570;FR0220;05v509s40;https://ror.org/05v509s40;989746000;13958688;0000 0001 2173 1046;http://www.isni.org/0000 0001 2173 1046;;1984-08-29;Décret n° 84-798 du 27 août 1984 portant création de l'université du Havre;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000503768/;76351;Le Havre;UU76701;Le Havre;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;25 rue Philippe Lebon;;BP 1123;76063;Le Havre CEDEX;France;+33232744000;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/univ.lehavre;;https://www.instagram.com/univ_lehavre/;;;http://www.univ-lehavre.fr/ulh_services/spip.php?page=backend;https://www.linkedin.com/school/univ-lehavre/;;;;;https://www.youtube.com/channel/UCH-CkxTL0ZESIPl6I4CU20w;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/197627623;https://hal-normandie-univ.archives-ouvertes.fr/UNILEHAVRE/;;à l';Université Le Havre;University of Le Havre;https://www.univ-lehavre.fr/en/;;;;;;;"Université Le Havre;Université Le Havre Normandie;University of Le Havre;UNILEHAVRE";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=LsQ24;6901;6863;6939;7225;7200;7376;7471;7638;7620.0;7445.0;7476.0;7355.0;6713.0
WaB2p;École nationale supérieure d'architecture de Normandie;Ensa de Normandie;ENSAN;École;;public;;Normandie>Seine-Maritime>Rouen>Darnétal;https://ensa-normandie.fr/;49.43767,1.1373;0760164R;;19760164400028;197601644;;Q3578182;https://www.wikidata.org/entity/Q3578182;126531536;FR0216;00a5dxw64;https://ror.org/00a5dxw64;;;0000 0001 2150 9242;http://www.isni.org/0000 0001 2150 9242;;;;;76212;Darnétal;UU00755;Rouen;D076;Seine-Maritime;A70;Normandie;R28;Normandie;R23;Haute-Normandie;;27 rue LUCIEN FROMAGE;;BP 04;76161;DARNETAL CEDEX;France;;Autre établissement public national d'enseignement;Autre établissement public national d'enseignement;https://www.facebook.com/%C3%89cole-nationale-sup%C3%A9rieure-darchitecture-de-Normandie-104102103746618/;;;;;;;;;;;;;;;;;;;;à l';;;;;;;;;;"École nationale supérieure d'architecture de Normandie;Ensa de Normandie;ENSAN";;;;;;;;;;;;;;
CdULA;École supérieure de chimie physique électronique de Lyon;CPE Lyon;;École;;privé;Vague A;Auvergne-Rhône-Alpes>Lyon>Rhône>Lyon>Villeurbanne;https://www.cpe.fr/;45.78415,4.868928;0693623N;;39189510900026;391895109;W691053534;Q10178;https://www.wikidata.org/entity/Q10178;050425900;FR0166;01cbtr271;https://ror.org/01cbtr271;;597739;0000 0000 8866 9008;http://www.isni.org/0000 0000 8866 9008;;1994;;;69266;Villeurbanne;UU00760;Lyon;D069;Rhône;A10;Lyon;R84;Auvergne-Rhône-Alpes;R82;Rhône-Alpes;Bâtiment Hubert Curien;43 boulevard du 11 Novembre 191;;BP 82077;69616;Villeurbanne CEDEX;France;+33472431700;Association loi de 1901;Association loi de 1901;https://www.facebook.com/cpelyon;https://twitter.com/CPELyon;https://www.instagram.com/cpe.lyon/;;;;https://www.linkedin.com/company/cpe-lyon/;;;;;;;;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/391895109;;;à l';;ECAM Lyon;;;;;;;;"École supérieure de chimie physique électronique de Lyon;CPE Lyon;ECAM Lyon";;;;;;;;;;;;;;
OYA17;ISAE-Supméca;;;École;;public;Vague E;Île-de-France>Créteil>Seine-Saint-Denis>Paris>Saint-Ouen-sur-Seine;https://www.isae-supmeca.fr/;48.9198,2.33287;0930603A;;19930603600013;199306036;;Q1267711;https://www.wikidata.org/entity/Q1267711;029823382;FR0261;04dtfqt68;https://ror.org/04dtfqt68;;;0000 0001 2177 0539;http://www.isni.org/0000 0001 2177 0539;;1990-10-11;;;93070;Saint-Ouen-sur-Seine;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;R11;Île-de-France;;3 rue Fernand Hainaut;;;93400;Saint-Ouen-sur-Seine;France;+33149452971;EPSCP;Établissement public à caractère scientifique, culturel et professionnel;https://www.facebook.com/pages/Supm%C3%A9ca-Institut-Sup%C3%A9rieur-de-M%C3%A9canique-de-Paris/276132662428779;https://twitter.com/supmeca;;;;;;;;;;;;http://www.dailymotion.com/user/webmestre_supmeca/1;;;;https://scanr.enseignementsup-recherche.gouv.fr/entite/199306036;;;;Institut supérieur de mécanique de Paris;;https://en.isae-supmeca.fr/;;;;;;;"Institut supérieur de mécanique de Paris;Institut supérieur des matériaux et de la construction mécanique;ISAE-Supméca;Supméca;ISMCM";https://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-statistiques-sur-les-effectifs-d-etudiants-inscrits-par-etablissement-hcp/table/?sort=-annee_universitaire&refine.etablissement_id_paysage=OYA17;622;629;665;720;671;630;607;594;597.0;596.0;623.0;604.0;594.0
